title,author,publish,secondTitle,originName,translator,publishYear,Pages,price,ISBN
计算机程序的构造和解释,HaroldAbelson/GeraldJaySussman/JulieSussman,机械工业出版社,原书第2版,StructureandInterpretationofComputerPrograms,裘宗燕,2004-2,473,45.00元,9787111135104
代码大全（第2版）,[美]史蒂夫·迈克康奈尔,电子工业出版社,无,CodeComplete,金戈,2006-3,944,128.00元,9787121022982
算法导论（原书第2版）,[美]ThomasH.Cormen/CharlesE.Leiserson/RonaldL.Rivest/CliffordStein,机械工业出版社,无,IntroductiontoAlgorithms,潘金贵等,2006-9,754,85.00元,9787111187776
C程序设计语言,（美）BrianW.Kernighan/（美）DennisM.Ritchie,机械工业出版社,第2版·新版,TheCProgrammingLanguage,徐宝文,2004-1,258,30.00元,9787111128069
C++ Primer 中文版（第 4 版）,StanleyB.Lippman/JoséeLaJoie/BarbaraE.Moo,人民邮电出版社,无,"C++Primer,4thEdition",李师贤,2006,745,99.00元,9787115145543
UNIX环境高级编程,W.RichardStevens/StephenA.Rago,人民邮电出版社,第2版,无,尤晋元,2006年,758,99.00元,9787115147318
编程珠玑,[美]JonBentley,人民邮电出版社,第2版,ProgrammingPearlsSecondEdition,黄倩,2008-10,228,39.00元,9787115179289
编码,[美]CharlesPetzold,电子工业出版社,隐匿在计算机软硬件背后的语言,Code:TheHiddenLanguageofComputerHardwareandSoftware,左飞,2010,392,55.00元,9787121106101
Java编程思想 （第4版）,[美]BruceEckel,机械工业出版社,无,ThinkinginJava,陈昊鹏,2007-6,880,108.00元,9787111213826
UNIX编程艺术,[美]EricS·Raymond,电子工业出版社,无,无,姜宏,2006-2,525,59.00元,9787121021169
深入理解计算机系统,RandalE.Bryant/DavidO'Hallaron,中国电力出版社,无,ComputerSystems:AProgrammer'sPerspective,龚奕利,2004-5-1,873,85.00元,9787508321752
计算机程序设计艺术（第1卷）,[美]DonaldE·Knuth,清华大学出版社,基本算法,无,无,2002-9,650,80.00元,9787302058144
重构,[美]MartinFowler,中国电力出版社,改善既有代码的设计,Refactoring:ImprovingtheDesignofExistingCode,无,2003-8-1,464,68.00元,9787508315546
程序员修炼之道,AndrewHunt/DavidThomas,电子工业出版社,从小工到专家,ThePragmaticProgrammer,马维达,2005-1,333,48.00元,9787505397194
程序员的自我修养,俞甲子/石凡/潘爱民,电子工业出版社,链接、装载与库,无,无,2009-4,459,65.00,9787121085116
算法（第4版）,塞奇威克(RobertSedgewick)/韦恩(KevinWayne),人民邮电出版社,无,Algorithms4thedition,谢路云,2012-10-1,636,99.00元,9787115293800
C专家编程,PetervanderLinden,人民邮电出版社,无,ExpertCProgramming:DeepCSecrets,徐波,2008-2,291,45.00元,9787115171801
UNIX网络编程,史蒂文斯/芬纳/鲁道夫,清华大学出版社,第1卷:套接口API(第3版),UnixNetworkProgramming,杨继张,2006-1,848,98.00元,9787302119746
编程之美,《编程之美》小组编,电子工业出版社,微软技术面试心得,无,无,2008-3,327,40.00元,9787121060748
JavaScript高级程序设计（第3版）,[美]尼古拉斯·泽卡斯,人民邮电出版社,无,ProfessionalJavaScriptforWeb,李松峰,2012-3-29,748,99.00元,9787115275790
黑客与画家,[美]保罗·格雷厄姆,人民邮电出版社,硅谷创业之父PaulGraham文集,HackersandPainters:BigIdeasfromtheComputerAge,阮一峰,2011-4,264,49.00元,9787115249494
C Primer Plus,StephenPrata/云巅工作室,人民邮电出版社,（第五版）,无,云巅工作室,2005-2-1,626,60.00元,9787115130228
设计模式,[美]ErichGamma/RichardHelm/RalphJohnson/JohnVlissides,机械工业出版社,可复用面向对象软件的基础,DesignPatterns:ElementsofReusableObject-OrientedSoftware,李英军,2000-9,254,35.00元,9787111075752
深度探索C++对象模型,[美]StanleyB·Lippman,华中科技大学出版社,无,InsidetheC++ObjectModel,侯捷,2001-5,320,54.00元,9787560924182
Effective C++中文版,[美]ScottMeyers,华中科技大学出版社,无,无,侯捷,2001-9,259,49.80元,9787560925257
精通正则表达式,[美]JeffreyE·F·Friedl,电子工业出版社,第3版,Masteringregularexpressions,余晟,2007,515,75,9787121046841
Effective java 中文版（第2版）,[美]JoshuaBloch,机械工业出版社,无,EffectiveJavaSecondEdition,俞黎敏,2009-1-1,287,52.00元,9787111255833
集体智慧编程,TobySegaran,电子工业出版社,无,ProgrammingCollectiveIntelligence,莫映,2009-1,364,59.80元,9787121075391
JavaScript语言精粹,DouglasCrockford,电子工业出版社,无,JavaScript:TheGoodParts,赵泽欣,2009-4,155,35.00元,9787121084379
Python源码剖析,陈儒,电子工业出版社,深度探索动态语言核心技术,无,无,2008-6,480,69.80元,9787121068744
C和指针,KennethA·Reek,人民邮电出版社,无,PointersonC,徐波,2008年4月,448,65.00元,9787115172013
程序员的思维修炼,[美]AndyHunt,人民邮电出版社,开发认知潜能的九堂课,PragmaticThinkingandLearning-RefactorYourWetware,崔康,2010-12-10,213,39.00元,9787115242334
编写可读代码的艺术,"Boswell,D./Foucher,T.",机械工业出版社,无,TheArtofReadableCode,尹哲,2012-7-10,240,59.00元,9787111385448
代码整洁之道,[美]RobertC·Martin,人民邮电出版社,无,CleanCode:AHandbookofAgileSoftwareCraftsmanship,韩磊,2010-1-1,388,59.00元,9787115216878
程序设计实践,[美]BrianW.Kernighan/RobPike,机械工业出版社,无,ThePracticeofProgramming,裘宗燕,2000-8,221,20.00元,9787111075738
Head First 设计模式（中文版）,[美]弗里曼,中国电力出版社,无,无,O'ReillyTaiwan公司,2007-9,637,98.00元,9787508353937
STL源码剖析,侯捷,华中科技大学出版社,无,无,无,2002-6,493,68.00元,9787560926995
C陷阱与缺陷,凯尼格,人民邮电出版社,C语言调试指南,CTrapsandPitfalls,高巍,2008-2-1,172,30.00元,9787115171795
Ruby元编程,[意]PaoloPerrotta,华中科技大学出版社,无,MetaprogrammingRuby,廖志刚,2012-1-10,288,56.00元,9787560974583
汇编语言（第2版）,王爽,清华大学出版社,无,无,无,2008-4,337,33.00元,9787302172284
C++程序设计语言（特别版）,[美]BjarneStroustrup贝尔实验室,机械工业出版社,无,TheC++ProgrammingLanguage(SpecialEdition),裘宗燕,2002-7,905,85.00元,9787111102021
编程人生,[美]PeterSeibel,人民邮电出版社,15位软件先驱访谈录,CodersatWork,图灵俱乐部,2011-1-1,473,79.00元,9787115239075
Java并发编程实战,BrianGoetz/TimPeierls/JoshuaBloch/JosephBowbeer/DavidHolmes/DougLea,机械工业出版社华章公司,无,JavaConcurrencyinPractice,童云兰,2012-2,293,69.00元,9787111370048
Head First Java（第二版·中文版）,"KathySierra,BertBates著/杨尊一编译张然等改编",中国电力出版社,无,无,杨尊一,2007-2,600,79.00元,9787508344980
软件随想录,[美]JoelSpolsky,人民邮电出版社,程序员部落酋长Joel谈软件,MoreJoelonSoftware,阮一峰,2009,292,49.00元,9787115216342
松本行弘的程序世界,[日]松本行弘,人民邮电出版社,无,まつもとゆきひろコードの世界~スーパー・プログラマになる14の思考法,柳德燕,2011-8,389,75.00元,9787115255075
冒号课堂,郑晖,电子工业出版社,编程范式与OOP思想,无,无,2009-10,476,65.00元,9787121095450
Linux C编程一站式学习,宋劲杉,电子工业出版社,无,无,无,2009-12,463,60.00元,9787121097713
大话设计模式,程杰,清华大学出版社,无,无,无,2007-12-1,368,45.00元,9787302162063
C++标准程序库,[德]NicolaiM·Josuttis,华中科技大学出版社,自修教程与参考手册,TheC++StandardLibrary,侯捷,2002-9,800,108.00元,9787560927824
Unix/Linux编程实践教程,BruceMolay/杨宗源/黄海涛,清华大学出版社,无,UnderstandingUNIX/LINUXProgramming,杨宗源,2004-10-1,495,56.00元,9787302096139
游戏引擎架构,[美]JasonGregory(杰森.格雷戈瑞),电子工业出版社,无,GameEngineArchitecture,叶劲峰,2014-1,800,128.00元,9787121222887
C++语言的设计和演化,[美]BjarneStroustrup,机械工业出版社,无,无,裘宗燕,2002-1,370,48.00元,9787111090984
构建之法,邹欣,人民邮电出版社,现代软件工程,无,无,2014-9,396,49.00元,9787115369161
与孩子一起学编程,[美]桑德WarrenSande/CarterSande,人民邮电出版社,无,HelloWorld！ComputerProgrammingforKidsandOtherBeginners,苏金国,2010-11,388,65.00元,9787115239969
The Little Schemer - 4th Edition,DanielP.Friedman/MatthiasFelleisen,TheMITPress,无,无,无,1995-12-21,216,USD40.00,9780262560993
Python基础教程,MagnusLieHetland,人民邮电出版社,无,"BeginningPython:FromNovicetoProfessional,SecondEdition",司维,2010-7,471,69.00元,9787115230270
A Byte of Python,SwaroopCH,LuluMarketplace,无,无,无,2008-10-1,149,USD27.98,9789577296467
高效程序的奥秘,沃瑞恩,机械工业出版社,无,Hacker'sDelight,冯速,2004-5,242,28.00元,9787111141112
Windows核心编程,JeffreyRichter,机械工业出版社,无,"ProgrammingApplicationsforMicrosoftWindows,4thEdition",无,2000-5-1,704,86.00元,9787111079453
高效程序员的45个习惯,[美]VenkatSubramaniam/[美]AndyHunt,人民邮电出版社,敏捷开发修炼之道,无,钱安川,2010-01,204,35.00元,9787115215536
CLR via C#,(美)JeffreyRichter,清华大学出版社,无,CLRviaC#(Dev-Pro),周靖,2010-9,777,99.00元,9787302232599
七周七语言,[美]BruceA·Tate,人民邮电出版社,理解多种编程范型,SevenLanguagesinSevenWeeks:A,巨成,2012-5-8,246,59.00元,9787115276117
深入浅出Node.js,朴灵,人民邮电出版社,无,无,无,2013-12-1,332,CNY69.00,9787115335500
C语言编程：一本全面的C语言入门教程（第三版）,（美）StephenKochan,电子社博文视点资讯有限公司,本书是极负盛名的C语言入门经典教材，其第一版发行至今已有二十年的历史!,无,张小潘,2006年,543页,59.00元,9787121007354
30天自制操作系统,[日]川合秀实,人民邮电出版社,无,无,周自恒,2012-8,704,99.00元,9787115287960
JAVA 2核心技术 卷Ⅰ,[美]霍斯特曼/[美]科奈尔,机械工业出版社,基础知识,"Corejava2.VolumeI,Fundamentals",叶乃文,2006-5,691,88.00元,9787111185239
DOOM启世录,[美]大卫·卡什诺,电子工业出版社,无,MastersofDoom,孙振南,2004-4,318,29.00元,9787505396814
C语言程序设计,K.N.King,人民邮电出版社,现代方法,"CProgramming:AModernApproach,SecondEdition",吕秀锋,2010-4,600,79.00元,9787115219572
编程精粹,SteveMaguire,人民邮电出版社,编写高质量C语言代码,WritingSolidCode,无,2009.2,256,45.00元,9787115193162
卓有成效的程序员,[美]NealFord,机械工业出版社,一本揭示高效程序员的思考模式，一本告诉你如何缩短你与优秀程序员的差距,TheProductiveProgrammer,熊节,2009-3,216,45.00元,9787111264064
挑战程序设计竞赛,秋叶拓哉/岩田阳一/北川宜稔,人民邮电出版社,无,プログラミングコンテストチャレンジブック[第2版],巫泽俊,2013-7-1,414,CNY79.00,9787115320100
C++设计新思维,(美)AndreiAlexandrescu,华中科技大学出版社,泛型编程与设计模式之应用,ModernC++Design:GenericProgrammingandDesignPatternsApplied,侯捷,2003-03,323,59.8,9787560929064
Fluent Python,LucianoRamalho,O'ReillyMedia,无,无,无,2015-8-20,768,USD39.99,9781491946008
Dive Into Python,MarkPilgrim,Apress,无,无,无,2004-11-5,436,GBP31.49,9781590593561
梦断代码,ScottRosenberg,电子工业出版社,无,DreaminginCode,韩磊,2008.06,336,49.00元,9787121066795
Python学习手册,[美]MarkLutz,机械工业出版社,（第3版）,LearningPython,侯靖,2009-8,656,89.00元,9787111267768
深入浅出 MFC 第二版,侯俊杰,松岗,无,无,无,1997.05,16章，942页,无,9789572225189
程序设计语言,[英]斯科特,电子工业出版社,实践之路（第二版）,ProgrammingLanguagePragmatics,裘宗燕,2007-6,899,99.00元,9787121042980
The Linux Programming Interface,MichaelKerrisk,NoStarchPress,ALinuxandUNIXSystemProgrammingHandbook,无,无,2010-11-6,1552,GBP79.99,9781593272203
Erlang 程序设计,Armstrong,人民邮电出版社,无,ProgrammingErlang:SoftwareforaConcurrentWorld,赵东炜,2008,427,79.00元,9787115188694
算法竞赛入门经典,刘汝佳,清华大学出版社,无,无,无,2009-11,225,24.00元,9787302206088
How to Design Programs,MatthiasFelleisen/RobertBruceFindler/MatthewFlatt/ShriramKrishnamurthi,TheMITPress,AnIntroductiontoProgrammingandComputing,无,无,2001-2-12,720,71.00美元,9780262062183
Microsoft.NET框架程序设计,JeffreyRichter,清华大学出版社,无,AppliedMicrosoft.NETFrameworkProgramming,李建忠,2003-11,596,68.00元,9787302075097
"The Elements of Programming Style, 2nd Edition",BrianW.Kernighan/P.J.Plauger,McGraw-Hill,无,无,无,1978-1-1,168,USD50.93,9780070342071
精通JavaScript,JohnResig,人民邮电出版社,无,ProJavaScriptTechniques,江疆,2008-4-1,289,49.00元,9787115175403
"Cracking the Coding Interview, Fourth Edition",GayleLaakmann,CreateSpace,150ProgrammingInterviewQuestionsandSolutions,无,无,2008-10-15,310,USD40.00,9781451578270
Python核心编程（第二版）,[美]WesleyJ.Chun（陳仲才）,人民邮电出版社,无,"CorePythonProgramming,2ndEdition",CPUG,2008-06,654,89.00元,9787115178503
数据结构与算法分析,[美]MarkAllenWeiss,机械工业出版社,C语言描述,DataStructuresandAlgorithmAnalysisinC:SecondEdition,冯舜玺,2004-1-1,391,35.00元,9787111127482
More Effective C++中文版,[美]ScottMeyers,中国电力出版社,无,无,侯捷,2003-3,317,50.00元,9787508314860
你不知道的JavaScript（上卷）,[美]KyleSimpson,人民邮电出版社,无,无,赵望野,2015-4,195,49.00元,9787115385734
C++Primer Plus,StephenPrata/孙建春/韦强,人民邮电出版社,无,无,孙建春,2005-5,788,72.00元,9787115134165
游戏之旅,云风,电子工业出版社,我的编程感悟,无,无,2005-12-01,389,46.00,9787121016097
Vim实用技巧,[英]DrewNeil,人民邮电出版社,无,PracticalVim,杨源,2014-5-1,286,59.00元,9787115338693
正则指引,余晟,电子工业出版社,RegularExpressionyetanotherintroduction,无,无,2012-5-1,336,58.00元,9787121165511
修改代码的艺术,MichaelFeathers,人民邮电出版社,无,WorkingEffectivelywithLegacyCode,刘未鹏,2007-09-25,384,59.00元,9787115163622
Perl语言入门,RandalL.Schwartz/TomPhoenix/briandfoy,东南大学出版社,第五版,"LearningPerl,5thEdition",盛春,2009-8,325,48.00元,9787564117634
代码之美,GreyWilson,机械工业出版社,无,BeautifulCode:LeadingProgrammersExplainHowTheyThink,聂雪军,2008年09月,599,99.00元,9787111251330
Effective STL中文版,[美]ScottMeyers,清华大学出版社,50条有效使用STL的经验,无,潘爱民,2006-1,208,30.00元,9787302126959
Python Cookbook,AlexMartelli/AnnaRavenscroft/DavidAscher,人民邮电出版社,（第2版）中文版,PythonCookbook,高铁军,2010-5-1,756,99.00元,9787115222664
Processing,CaseyReas/BenFry,MITPress,AProgrammingHandbookforVisualDesignersandArtists,无,无,2007-9-28,736,GBP35.95,9780262182621
代码的未来,[日]松本行弘,人民邮电出版社,代码的未来,无,周自恒,2013-6,356,79.00元,9787115317513
On LISP,[美]保罗·格雷厄姆,PrenticeHall,AdvancedTechniquesforCommonLISP,无,无,"09September,1993",432,$52.00,9780130305527
剑指Offer,何海涛,电子工业出版社,名企面试官精讲典型编程题,无,无,2012-1,260,45.00元,9787121148750
利用Python进行数据分析,WesMcKinney,机械工业出版社,无,PythonforDataAnalysis,唐学韬,2013-11-18,464,89.00,9787111436737
Programming Ruby中文版,[美]托马斯,电子工业出版社,无,ProgrammingRuby:thepragmaticprogrammers'guide,孙勇,2007-3,830,99.00元,9787121038150
别怕，Excel VBA其实很简单,Excel之家(ExcelHome),人民邮电出版社,无,无,无,2012-10-1,314,49.00元,9787115289094
Windows 程序设计：第5版,CharlesPetzold,北京大学出版社,无,无,北京博彦科技发展有限公司,2003-11-1,1376,160.00元,9787301041871
C++程序设计原理与实践,[美]BjarneStroustrup,机械工业出版社,无,Programming:PrinciplesandPracticeUsingC++,王刚等,2010.7,668,108.00元,9787111303220
程序员的数学,[日]结城浩,人民邮电出版社,无,无,管杰,2012-10,232,49.00元,9787115293688
Learning Processing,DanielShiffman,MorganKaufmann,"ABeginner'sGuidetoProgrammingImages,Animation,andInteraction(MorganKaufmannSeriesinComputerGraphics)",无,无,2008-08-15,450,USD49.95,9780123736024
The Science of Programming,DavidGries,Springer,无,无,无,1989-4-21,388,USD99.00,9780387964805
Linux设备驱动程序,科波特,中国电力出版社,无,"LinuxDeviceDrivers,ThirdEdition",魏永明,2006-1-1,569,69.00元,9787508338637
计算机科学概论（第11版）,J.GlennBrookshear,人民邮电出版社,无,ComputerScience:AnOverview,刘艺,2011-10-1,411,69.00元,9787115261960
ANSI Common Lisp,[美]保罗·格雷厄姆,PrenticeHall,无,无,无,1995-11-12,432,USD116.40,9780133708752
编程原本,AlexanderStepanov/PaulMcJones,机械工业出版社华章公司,无,ElementsofProgramming,裘宗燕,2012-1-10,281,59.00元,9787111367291
算法新解,刘新宇,人民邮电出版社,无,无,无,2016-12-1,566,CNY99.00,9787115440358
C++编程思想（第1卷）,[美]BruceEckel,机械工业出版社,标准C++导引,无,刘宗田,2002-9,479,59.00元,9787111108078
C++沉思录,AndrewKoenig/BarbaraMoo,人民邮电出版社,十年编程生涯的真知灼见,RuminationsonC++:ADecadeofProgrammingInsightandExperience,黄晓春,2002-11-01,386页,50.00元,9787115106223
Effective Modern C++,[美]ScottMeyers,O'ReillyMedia,42SpecificWaystoImproveYourUseofC++11andC++14,无,无,2014-12,320,USD49.99,9781491903995
LUA程序设计(第2版),[巴西]莱鲁,电子工业出版社,无,无,周惟迪,2008-1,281,39.00元,9787121061875
计算的本质,[英]TomStuart,人民邮电出版社,深入剖析程序和计算机,UnderstandingComputation:FromSimpleMachinestoImpossiblePrograms,张伟,2014-11,300,69.00元,9787115361547
Ruby编程语言,[日]松本行弘/[美]DavidFlanagan,电子工业出版社,无,TheRubyProgrammingLanguage,廖志刚,2009-1,431,68.00元,9787121077012
UNIX编程环境,BrianW.Kernighan/RobPike,机械工业出版社,无,无,陈向群/等,1999-10-1,255,24.00,9787111071150
第一行代码,郭霖,人民邮电出版社,Android,无,无,2014-8,553,79.00元,9787115362865
PHP和MySQL Web开发(原书第4版),LukeWelling/LauraThomson,机械工业出版社,无,"PHPandMySQLWebDevelopment,FourthEdition",武欣,2009,714,95.00元,9787111262817
Python编程快速上手,斯维加特(AlSweigart),人民邮电出版社,让繁琐工作自动化,无,无,2016-7-1,390,CNY69.00,9787115422699
MySQL必知必会,[英]BenForta,人民邮电出版社,无,MySQLCrashCourse,刘晓霞,2009-1,241,39.00元,9787115191120
C语言入门经典,霍顿(IvorHorton),清华大学出版社,无,BeginningC:fromnovicetoprofessional,无,2008-4-1,571,69.80元,9787302170839
Python编程：从入门到实践,[美]埃里克·马瑟斯,人民邮电出版社,从入门到实践,PythonCrashCourse,袁国忠,2016-7-1,459,CNY89.00,9787115428028
C标准库,P.J.Plauger,人民邮电出版社,C标准库“圣经”,无,卢红星,2009-7,488,79.00元,9787115172860
正则表达式必知必会,BenForta,人民邮电出版社,无,SamsTeachYourselfRegularExpressionsin10Minutes,杨涛,2007,139,29.00元,9787115164742
Spring揭秘,王福强,人民邮电出版社,无,无,无,2009.8,680,99.00元,9787115209429
"""笨办法""学Python",[爱尔兰]肖,人民邮电出版社,无,LearnPythontheHardWay:AVerySimpleIntroductiontotheTerrifyinglyBeautifulWorldofComputersandCode(3rdEdition),王巍巍,2014-11-1,249,CNY49.00,9787115350541
Java解惑,布洛赫/加夫特,人民邮电出版社,无,无,陈昊鹏,2006-1,285,39.00元,9787115142412
COM本质论,[美]DonBox,中国电力出版社,无,EssentialCOM,潘爱民,2001-8,356,49.00元,9787508306117
C++编程规范,[美]HerbSutter/[美]AndreiAlexandrescu,人民邮电出版社,101条规则、准则与最佳实践,无,刘基诚,2006-1,216,35.00元,9787115142054
Orange'S:一个操作系统的实现,于渊,电子工业出版社,无,无,无,2009-6,469,69.00元,9787121084423
软件调试,张银奎,电子工业出版社,SoftwareDebugging,无,无,2008-6,1006,128.00元,9787121064074
C语言接口与实现,（美）DavidR.Hanson,机械工业出版社,无,无,傅蓉,2004-1,379,35.00元,9787111130055
JavaScript DOM编程艺术 （第2版）,[英]JeremyKeith/[加]JeffreySambells,人民邮电出版社,无,DOMScripting:WebDesignwithJavaScriptandtheDocumentObjectModel,杨涛,2011-4,300,49.00元,9787115249999
Essential C++中文版,[美]StanleyB·Lippman,华中科技大学出版社,无,无,侯捷,2001-8,282,39.80元,9787560925110
Perl语言编程,[美]LarryWall/TomChristiansen/JonOrwant,中国电力出版社,无,无,何伟平,2001-12,1102,129.00元,9787508307305
JAVA核心技术卷2,CayS.Horstmann/GaryCornell,机械工业出版社,高级特性,无,陈昊鹏,2008-12,852,118.00元,9787111256113
Land of Lisp,ConradBarskiM.D.,NoStarchPress,"LearntoPrograminLisp,OneGameataTime!",无,无,October2009(est.),504pages(est.),386.00元,9781593272005
Maven实战,许晓斌,机械工业出版社,无,无,无,2010年12月,361,65.00元,9787111321545
