title,author,publish,secondTitle,originName,translator,publishYear,Pages,price,ISBN
C++程序设计教程,钱能,清华大学出版社,（第二版）,无,无,2005-9,551,39.50元,9787302114642
Erlang编程指南,FrancescoCesarini/SimonThompson,机械工业出版社,无,ErlangProgramming,慕尼黑Isar工作组,2011-3,444,79.00元,9787111303251
Java性能优化权威指南,CharlieHunt/BinuJohn,人民邮电出版社,Java性能优化权威指南,JavaPerformance,柳飞,2014-3,540,109.00元,9787115342973
简约之美,[美]MaxKanat-Alexander,人民邮电出版社,软件设计之道,CodeSimplicity:TheScienceofDevelopment,余晟,2013-1,120,25.00元,9787115302380
用Python写网络爬虫,[澳]理查德劳森,人民邮电出版社,无,webscrapingwithpython,李斌,2016-8-1,157,CNY45.00,9787115431790
编写安全的代码,DavidLeBlanc/程永敬/MichaelHoward/翁海燕/朱涛江,机械工业出版社,无,WritingSecureCode,程永敬,2005-1-1,500,55.0,9787111112105
C++模板元编程,无,无,无,"C++TemplateMetaprogramming:Concepts,Tools,andTechniquesfromBoostandBeyond",无,2010-1,277,55.00元,9787111267423
深入理解C指针,[美]RichardReese,人民邮电出版社,无,UnderstandingandusingCpointers,陈晓亮,2014-2,204,45.00,9787115344489
The iOS Apprentice,MatthijsHollemans,RazewareLLC,ThirdEdition:BeginningiOSDevelopmentwithSwift,无,无,2014-12-15,804,USD54.00,9780989675154
实用算法的分析与程序设计,吴文虎王建德,电子工业出版社,无,无,无,1998-1,350,28.00元,9787505344020
Java语言程序设计基础篇,梁,机械工业出版社,原书第5版,无,王镁,2006-8,500,58.00元,9787111190592
Effective JavaScript,[阿根廷]赫尔曼,机械工业出版社,编写高质量JavaScript代码的68个有效方法,EffectiveJavaScript:68SpecificWaystoHarnessthePowerofJavaScript,黄博文,2014-1-1,164,CNY49.00,9787111446231
可视化数据,BenFry,电子工业出版社,无,VisualizingData:ExploringandExplainingDatawiththeProcessingEnvironment,张羽,2009-3,360,65.00元,9787121082795
程序员面试宝典,欧立奇/刘洋/段韬,电子工业出版社,无,无,无,2006-7,365,39.00元,9787121027895
Head First Ajax（中文版）,莱尔(RebeccaM.Riordan)/等,中国电力出版社,无,无,无,2010-7-1,497,78.00元,9787508387918
凌波微步(软件开发警戒案例集),王咏刚/周虹,清华大学出版社,无,无,无,2002-11-1,420,42.00,9787900643681
Web编程入门经典,达科特(JonDuckett),清华大学出版社,HTML、XHTML和CSS,"BeginningWebProgrammingwithHTML,XHTML,andCSS",杜静,2010-1-1,636,79.80元,9787302215974
JavaScript面向对象精要,[美]尼古拉斯·泽卡斯,人民邮电出版社,无,ThePrinciplesOfObject-OrientedJavaScript,胡世杰,2015-4,100,39.00,9787115383846
程序员的数学2,平冈和幸/堀玄,人民邮电出版社,概率统计,无,陈筱烟,2015-8-1,405,CNY79.00,9787115400512
Perl最佳实践,DamianConway,东南大学出版社,无,无,无,2006-4,517,74.00元,9787564101633
程序员的修炼,JeffAtwood,人民邮电出版社,从优秀到卓越,HowToStopSuckingAndBeAwesomeInstead,陆其明,2014-4,207,45.00元,9787115347824
数据结构,霍罗威茨,机械工业出版社,无,FundamentalsofDataStructuresinC,无,2006-7-1,376,48.00元,9787111187981
C++ Primer（第4版）习题解答,蒋爱军、李师贤、梅晓勇编,人民邮电出版社,无,无,无,2007-2,343,45.00元,9787115155108
计算机程序设计艺术（第2卷）,[美]DonaldE·Knuth,国防工业出版社,半数值算法,无,苏运霖,2002-8,760,98.00元,9787118027075
网络游戏核心技术与实战,中嶋谦互,人民邮电出版社,无,无,毛姝雯,2014-4,443,99.00元,9787115349354
Clean Code,罗伯特·马丁,电子工业,CleanCode,无,无,2012-2,465,79.00元,9787121155055
理解专业程序员,[美]杰拉尔德·温伯格,清华大学出版社,无,UnderstandingtheProfessionalProgrammer,刘天北,2006-7,182,25.00元,9787302129943
苹果开发之Cocoa编程,AaronHillegas,电子工业出版社,无,无,钱友才陈勇王健,2009年7月,460页,65.00元,9787121092398
Android应用开发揭秘,杨丰盛,机械工业出版社,无,无,无,2010-1,515,69.00元,9787111291954
Linux多线程服务端编程,陈硕,电子工业出版社,使用muduoC++网络库,无,无,2013-1-15,610,89.00元,9787121192821
Arduino Cookbook,MichaelMargolis,O'ReillyMedia,无,无,无,2011-3-31,662,USD44.99,9780596802479
Python编程实践,JenniferCampbell/PaulGries/JasonMontojo/GregWilson,机械工业出版社华章公司,无,PracticalProgramming:AnIntroductiontoComputerScienceUsingPython,唐学韬,2011-12-31,309,49.00元,9787111364788
C语言深度解剖,无,无,无,无,无,2010-7,165,29.00元,9787512401440
Struts2技术内幕,陆舟,机械工业出版社,深入解析Struts2架构设计与实现原理,陆舟,无,2012-1,379,69.00元,9787111366966
你不知道的JavaScript（中卷）,[美]KyleSimpson,人民邮电出版社,无,无,单业,2016-8,358,79.00元,9787115431165
JavaScript & jQuery交互式Web前端开发,"[美]达克特(Duckett,J.)",清华大学出版社,无,无,杜伟,2015-6-9,314,79.80元,9787302397632
C++面向对象程序设计,谭浩强,清华大学出版社,C++面向对象程序设计,无,无,2006-1,288,26.00元,9787302123156
PHP基础教程,厄尔曼,人民邮电出版社,第3版,无,贾菡,2010-1,374,49.00元,9787115216786
JavaScript模式,StoyanStefanov,中国电力出版社,无,JavaScriptPatterns,陈新,2012-7,208,38.00元,9787512329232
MATLAB for Neuroscientists,PascalWallisch/MichaelLusignan/MarcBenayoun/TanyaI.Baker/AdamSethDickey/NichoHatsopoulos,AcademicPress,AnIntroductiontoScientificComputinginMATLAB,无,无,2008-11-6,400,$79.95,9780123745514
iOS 7 Programming Cookbook,VandadNahavandipoor,O'ReillyMedia,无,无,无,2013-10-30,1056,USD54.99,9781449372422
PC游戏编程,王小春,重庆大学出版社,人机博弈,无,无,2002-6-1,256,38.00元,9787562426448
C# 5.0 in a Nutshell,JosephAlbahari/BenAlbahari,O'ReillyMedia,TheDefinitiveReference,无,无,2012-6-26,1064,GBP38.50,9781449320102
我的第一本C++书,陈良乔,华中科技大学出版社,无,无,无,2011-5-5,392,58.80元,9787560969954
Java Generics and Collections,Naftalin/PhilipWadler,O'ReillyMedia,无,无,无,2006-10-24,286,USD34.99,9780596527754
树莓派学习指南,[英]PeterMembrey/[澳]DavidHows,人民邮电出版社,基于Linux,无,张志博,2014-4,201,49.00元,9787115344977
ppk谈JavaScript,Peter-PaulKoch,人民邮电出版社,无,PPKonJavaScript,淘宝UED,2008-4,337,59.00元,9787115175458
Pro Python,MartyAlchin,Apress,无,无,无,2010-06-15,368,USD49.99,9781430227571
C语言解惑,AlanR.Feuer,人民邮电出版社,无,无,杨涛,2007,154,25.00元,9787115159731
WCF全面解析（上下册）,蒋金楠,电子工业出版社,无,无,无,2012-4,1136,168.00元,9787121166563
OpenCV 2 Computer Vision Application Programming Cookbook,RobertLaganière,PacktPublishing,无,无,无,2011-5-23,304,USD44.99,9781849513241
Google API大全,高昂/段念/何峰/张凯峰/姚尚朗/苏哲/王翔/田淼/王俊煜/林胜/李明/刘宏伟,电子工业出版社,编程·开发·实例,无,无,2009-6,600,69.80元,9787121089725
21天学通C++,"利伯帝,",人民邮电出版社,第五版,无,无,2005-01-01,634,59.00元,9787115136923
Web全栈工程师的自我修养,余果,人民邮电出版社,无,无,无,2015-9-1,234,49.00,9787115399021
Google Android开发入门与实战,姚尚朗/靳岩,人民邮电出版社,无,无,无,2009年6月,400,55.00元,9787115209306
Ruby Cookbook,LucasCarlson/LeonardRichardson,O'ReillyMedia,无,无,无,2006-7-29,910,USD49.99,9780596523695
ACM-ICPC世界总决赛试题解析,吴永辉/王建德,机械工业出版社,无,无,无,2012-8,371,55.00元,9787111390947
卓越程序员密码,[美]KaWaiCheung,人民邮电出版社,卓越程序员密码,TheDeveloper'sCode:WhatRealProgrammersDo,劳,2012-11-3,172,29.00元,9787115295088
iOS 6编程实战,内皮尔(RobNapier)/库马尔(MugunthKumar),人民邮电出版社,无,iOS6ProgrammingPushingtheLimits,陈晓亮,2013-4-1,432,99.00元,9787115312181
Ruby基础教程,高桥征义/后藤裕藏,人民邮电出版社,无,无,何文斯,2014-9-1,334,CNY79.00,9787115366467
80X86汇编语言程序设计教程,杨季文,清华大学出版社,无,无,无,1998-6-1,595,39.00元,9787302029014
算法：C语言实现,塞奇威克,机械工业出版社,(第1～4部分)基础知识、数据结构、排序及搜索,无,霍红卫,2009-10,456,79.00元,9787111275718
Software Tools,BrianW.Kernighan/P.J.Plauger,Addison-WesleyProfessional,无,无,无,1976-1-11,352,USD37.95,9780201036695
Perl高效编程,[美]霍尔,人民邮电出版社,无,"EffectivePerlProgramming:WaystoWriteBetter,MoreIdiomaticPerl",胜春,2011-5,306,65.00元,9787115250469
Java TCP/IP Socket编程,KennethL.Calvert/MichaelJ.Donahoo,机械工业出版社,无,TCP/IPSocketsinJava,周恒民,2009-1,172,29.00元,9787111257561
Servlet与JSP核心编程,[美]霍尔,清华大学出版社,无,无,霍尔,2004-06-01,475,59.0,9787302086277
Python网络数据采集,[美]米切尔,人民邮电出版社,无,WebScrapingwithPython:CollectingDatafromtheModernWeb,陶俊杰,2016-3-1,200,CNY59.00,9787115416292
游戏开发的数学和物理,［日］加藤洁,人民邮电出版社,无,无,徐,无,264,59.00元,9787115375810
软件调试实战,ThorstenGrotker/UlrichHoltmann/HolgerKeding/MarkusWloka,人民邮电出版社,无,TheDevelopersGuidetoDebugging,赵俐,2010-2,190,45.00元,9787115218858
LabVIEW大学实用教程,JeffreyTravis/JimKring,电子工业出版社,LabVIEWforEveryone,无,乔瑞萍,2008-6,552,59.80元,9787121066672
精通Android游戏开发,[美]VladimirSilva,人民邮电出版社,无,ProAndroidGames,王恒,2011-2,260,45.00元,9787115246981
Linux就是这个范儿,[中]赵鑫磊/[加]JieZhang（张洁）,人民邮电出版社,无,无,无,2014-7,752,95.00元,9787115359360
C安全编码标准,RobertC.Seacord,机械工业出版社,无,TheCERTCSecureCodingStandard,徐波,2010-1,496,69.00元,9787111284420
Ruby Best Practices,GregoryTBrown,O'ReillyMedia,无,无,无,2009-6-26,328,USD34.99,9780596523008
Windows高级调试,MarioHewardt/DanielPravat,机械工业出版社,无,无,聂雪军,2009-5,500,79.00元,9787111266396
Invent Your Own Computer Games With Python,AlSweigart,Albert\Sweigart,无,无,无,2010-5-1,438,GBP15.74,9780982106013
精通Matlab7,亨塞尔曼,清华大学出版社,无,Masteringmatlab7,朱仁峰,2006年05月,654页,69.0,9787302129479
短码之美,"Ozy(著),やねうらお(監修)",人民邮电出版社,无,ShortCoding：職人達の技法，1E,无,2011-1-8,338,59.00元,9787115240446
Perl网络编程,LincolnD.SteinStein,清华大学出版社,无,无,无,2002-3,582,62.00元,9787302052890
From Mathematics to Generic Programming,AlexanderA.Stepanov/DanielE.Rose,Addison-WesleyProfessional,无,无,无,2011-9-13,320,USD39.99,9780321942043
Text Processing in Python,DavidMertz,Addison-WesleyProfessional,无,无,无,2003-6-12,544,USD54.99,9780321112545
实战Linux编程精髓,[美]罗宾斯,中国电力出版社,无,LinuxProgrammingbyExample,无,2005-7,506,59.80元,9787508330075
UNIX系统编程,[美]罗宾斯,机械工业出版社,无,"UNIXSystemsProgramming:Communication,ConcurrencyandThreads",陈涓,2005-5,656,78.00元,9787111161905
Object-Oriented Programming With ANSI-C,Axel-TobiasSchreiner,HanserFachbuch,无,无,无,1994,252,无,9783446174269
Python 3面向对象编程,[加]DustyPhillips（达斯帝•菲利普斯）,电子工业出版社,无,无,肖鹏,2015-6,380,79.00元,9787121262463
像程序员一样思考,V.AntonSpraul,人民邮电出版社,无,ThinkLikeaProgrammer,徐波,2013-6,256,49.00元,9787115316585
x86/x64体系探索及编程,邓志,电子工业出版社,无,无,无,2012-10-1,813,119.00元,9787121181764
深入理解Android,邓凡平,机械工业出版社,卷II,无,无,2012-8,440,79.00元,9787111389187
逆袭大学,贺利坚,人民邮电出版社,传给IT学子的正能量,无,无,2014-3,356,49.00,9787115347473
C++编程风格,TrevorMisfeldt/GregoryBumgardner,人民邮电出版社,无,TheElementsofC++Style,罗小平,2008.10,264,29.00元,9787115176059
天书夜读,谭文/邵坚磊,电子工业出版社,从汇编语言到Windows内核编程,无,无,2008-10,270,45.00元,9787121073397
.NET 4.0面向对象编程漫谈,金旭亮,电子工业出版社,基础篇,无,无,2010-10,341,45.00元,9787121119040
Linux高级程序设计,JonMasters/RichardBlum,人民邮电出版社,无,ProfessionalLinuxProgramming,陈健,2008-7,390,59.00元,9787115179104
Python for Informatics,Dr.CharlesRSeverance,CreateSpaceIndependentPublishingPlatform,ExploringInformation,无,无,2013-9-2,244,USD9.99,9781492339243
通灵芯片,DanielHillis,上海世纪出版集团,计算机运作的简单原理,ThePatternontheStone:TheSimpleIdeasThatMakeComputersWork,崔良沂,2009-1,134,19.80元,9787532394418
Java并发编程,(美)DougLea,中国电力出版社,设计原则与模式,ConcurrentProgramminginJava:DesignPrinciplesandPatterns,赵涌,2004-2-1,282,35,9787508318288
NoSQL精粹,[美]PramodJ.Sadalage/[美]MartinFowler,机械工业出版社,无,NoSQLDistilled,爱飞翔,2013-8,176,49.00元,9787111433033
构建高性能可扩展ASP.NET网站,RichardKiessig,人民邮电出版社,无,Ultra-fastASP.NET,余昭辉,2011-3,384,65.00元,9787115248336
Think Python,AllenB.Downey,CreateSpace,AnIntroductiontoSoftwareDesign:HowToThinkLikeAComputerScientist,无,无,2009-02-27,240,USD22.95,9781441419163
The Joy of Clojure,MichaelFogus/ChrisHouser,ManningPublications,ThinkingtheClojureWay,无,无,2011-4-4,300,USD44.99,9781935182641
Everyday Scripting with Ruby,BrianMarick,PragmaticBookshelf,"ForTeams,Testers,andYou",无,无,2007-01-23,310,USD29.95,9780977616619
The Scheme Programming Language,R.KentDybvig,TheMITPress,无,无,无,2003-9-26,307,USD40.00,9780262541480
深入理解 Flask,[美]JackStouffer,电子工业出版社,掌握用Python创建强大动态Web应用的技术,MasteringFlask,苏丹,2016-7-1,256,79.00,9787121292316
Node.js实战,无,人民邮电出版社,无,Node.jsinAction,[美]MikeCantelon,2014-5,356,69.00元,9787115352460
Java特种兵（上册）,谢宇,电子工业出版社,无,无,无,2014-9-1,492,79.00元,9787121239359
AppStore掘金,乔纳森,人民邮电出版社,iPhoneSDK应用程序开发,无,鲁成东,2010-1,351,59.00元,9787115218230
精通Perl,Briandfoy,电子工业出版社,无,MasteringPerl,韩殿飞,2009-1,322,68.00元,9787121077135
Head First Web Design,EthanWatrall/JeffSiarto,"O’ReillyMedia,Inc.",ABrainFriendlyGuide,无,无,2009-01-02,495,$49.99,9780596520304
泛型编程与STL,MatthewH.Austern,中国电力出版社,无,GenericProgrammingandtheSTL,侯捷,2003-1,548,72.00元,9787508314877
PYTHON技术手册,马特利,东南大学出版社,无,无,无,2006-11,695,78.00元,9787564105761
Go 语言程序设计,MarkSummerfield,人民邮电出版社,无,ProgramminginGo,许式伟,2013-8-1,354,CNY69.00,9787115317902
JSP设计（第三版）,鲍格斯坦,中国电力出版社,无,JavaServerPages,林琪,2005-07-09,778,79.00元,9787508322735
程序员面试逻辑题解析,萨沙,人民邮电出版社,无,PuzzlesforProgrammersandPros,朱学武,2013-1,208,35.00元,9787115301956
Flash游戏编程基础教程,RexvanderSpuy,人民邮电,无,无,李,2011-6,474,75.00元,9787115254344
复杂性思考,AllenB.Downey,机械工业出版社,无,ThinkComplexity,张龙,2013-5,117,49.00元,9787111419990
Web开发秘方,BrianP.Hogan/ChrisWarren/MikeWeber/ChrisJohnson/AaronGodin,华中科技大学出版社,无,WebDevelopmentRecipes,七印部落,2013-7-10,340,66.00元,9787560988955
iOS开发指南,关东升,人民邮电出版社,从零基础到AppStore上架,无,无,2013-8-1,690,99.00元,9787115324443
程序设计导引及在线实践,李文新/郭炜/余华山,清华大学出版社,21世纪大学本科计算机专业系列教材,无,无,2007年11月,290,26.00元,9787302158332
GNU/Linux编程指南(第二版),"KurtWall,etal.",清华大学出版社,入门·应用·精通,"LinuxProgrammingUnleashed,SecondEdition",张辉,2002-6-1,674,68.00元,9787302055501
Python计算机视觉编程,[瑞典]JanErikSolem,人民邮电出版社,无,ProgrammingComputerVisionwithPython,朱文涛,2014-6-10,284,69.00,9787115352323
算法基础,布拉萨德,清华大学出版社,无,无,邱仲潘,2005-7,404,49.00元,9787302106098
敏捷软件开发,[美]RobertC·Martin,清华大学出版社,原则、模式与实践,"AgileSoftwareDevelopment:Principles,Patterns,andPractices",邓辉,2003-09-01,476,59.00元,9787302071976
Oracle SQL高级编程,[美]KarenMorton/KerryOsborne/RobynSands/RiyajShamsudeen/JaredStill,人民邮电出版社,无,ProOracleSQL,朱浩波,2011-11,502,89.00元,9787115266149
iOS软件开发揭密,虞斌,电子工业出版社,iPhone&iPad企业应用和游戏开发,无,无,2011-5-1,440,79.00元,9787121133022
R语言实战,卡巴科弗,人民邮电出版社,无,RinAction,高涛,2013-1,388,79.00元,9787115299901
Java就业培训教程,张孝祥,清华大学出版社,无,无,无,2003-9,394,39.00元,9787302072959
提高C++性能的编程技术,(美)DovBulka（多夫.布尔卡）DavidMayhew（大卫.梅休）,电子工业出版社,无,EfficientC++:PerformanceProgrammingTechniques,左飞,2011-3-28,272,59.00元,9787121129377
Android开发入门教程,李雪飞/吴明晖,人民邮电出版社,无,BeginningAndroid2,MarkMurphy,2010-12,308,59.00元,9787115241160
游戏人工智能编程案例精粹,巴克兰德(MatBuckland),人民邮电出版社,无,无,罗岱,2008年06月,368页,55.00元,9787115178060
JAVASCRIPT权威指南(第四版),[美]DavidFlanagan,机械工业出版社,无,无,张铭泽,2003-1-1,1015,99.00,9787111110910
Java语言程序设计,（美）Y.DanielLiang,机械工业出版社,进阶篇(原书第8版),IntroductiontoJavaProgramming，EighthEdition,李娜,2011-6,528,79.00元,9787111342366
Git Internals,无,PeepCodePress,Sourcecodecontrolandbeyond,ScottChacon,无,2008,120,USD9.00,9783293000018
UNIX网络编程卷2,Stevens,(影印版)(2002年1月1日),进程间通信,无,无,2002-4,558,47.0,9787302053552
R for Data Science,HadleyWickham/GarrettGrolemund,O'ReillyMedia,"Visualize,Model,Transform,Tidy,andImportData",无,无,2016-12-25,518,USD39.99,9781491910399
程序员必读之软件架构,[英]SimonBrown,人民邮电出版社,无,SoftwareArchitectureforDevelopers,邓,2014-12,228,49.00元,9787115371072
Google Android SDK开发范例大全,余志龙/陈昱勋/郑名杰/陈小凤/郭秩均,人民邮电出版社,无,无,无,2009,616,79.00元,9787115208934
Ruby Programming,高桥征义/后藤裕藏,电子工业出版社,向Ruby之父学程序设计,たのしいRuby第2版,博硕文化,2009-4,272,42.00元,9787121077029
SQLite权威指南,GrantAllen/MikeOwens,电子工业出版社,无,TheDefinitiveGuidetoSQLite,杨谦,2012-1-15,380,69.00元,9787121149245
SCJP学习指南,KATHYSIERRABERTBATES,人民邮电,SunCertifiedProgrammerforJava5,无,无,2006-10,509,69.00元,9787115151353
JavaScript核心概念及实践,邱俊涛,人民邮电出版社,无,无,无,2013-5-1,250,49.00元,9787115313515
黑客反汇编揭秘,KrisKaspersky/谭明金,电子工业出版社,无,HackerDisassemblingUncovered,谭明金,2004-10-1,552,59.00,9787121002069
Visual C# 2010从入门到精通,夏普(JohnSharp),清华大学出版社,StepbyStep,MicrosoftVisualC#2010StepbyStep,周靖,2010年8月1日,652,78.00元,9787302234289
Qt高级编程,(英)萨默菲尔德|译者,电子工业,无,无,出版社:电子工业,2011-4,327,59.00元,9787121131103
Android的设计与实现,杨云君,机械工业出版社,卷I,无,无,2013-5-1,419,79.00元,9787111417132
Head First iPhone Development,DanPilone/TraceyPilone,O'ReillyMedia,ALearner'sGuidetoCreatingObjective-CApplicationsfortheiPhone,无,无,2009-10-30,560,USD44.99,9780596803544
学习JavaScript数据结构与算法,[巴西]格罗纳（LoianeGroner）,人民邮电出版社,无,LearningJavaScriptDataStructuresandAlgorithms,孙晓博,2015-10-1,159,39.00,9787115404145
精通shell编程,韦拉拉格温(VeeraraghavanSriranga),人民邮电出版社,无,"SamsTeachYourselfShellProgrammingin24Hours,SecondEdition",卢涛,2003-2,350,39.0,9787115111418
Beginning Game Development with Python and Pygame,WillMcGugan,Apress,FromNovicetoProfessional,无,无,"August20,2007",300,$26.39,9781590598726
R和Ruby数据分析之旅,（新加坡）SauSheongChang,人民邮电出版社,无,ExploringEverydayThingswithRandRuby,钱昊,2013-3,224,45.00元,9787115303707
Java深度历险,王森,华中科技大学出版社,无,无,无,2003-12-1,272,29.8,9787560928326
写给大家看的算法书,【日】杉浦贤,电子工业出版社,无,无,绝云,2016-6,192,59.00元,9787121287442
自制编译器,[日]青木峰郎,人民邮电出版社,无,无,严圣逸,2016-6,472,99.00元,9787115422187
C语言教程,"(美)凯利,(美)波尔",机械工业出版社,无,无,无,2007-1,423,45.00元,9787111202134
Beginning Java Objects中文版从概念到代码,巴克,人民邮电出版社,无,无,万波,2007-1,701,78.00元,9787115154408
"A Little Java, A Few Patterns",MatthiasFelleisen/DanielP.Friedman,TheMITPress,无,无,无,1997-12-19,194,USD28.00,9780262561150
